_MSSubClass_1,_MSSubClass_2,_MSSubClass_3,_MSSubClass_4,_MSSubClass_5,_MSSubClass_-2,_MSZoning_1,_MSZoning_2,_MSZoning_3,_MSZoning_-2,_LotFrontage,_LotArea,_Street,_Alley,_LotShape,_LandContour_1,_LandContour_2,_LandContour_-2,_LandContour_IsFlat,_Utilities,_LotConfig_1,_LotConfig_2,_LotConfig_3,_LotConfig_4,_LotConfig_-2,_LandSlope,_Neighborhood_1,_Neighborhood_2,_Neighborhood_3,_Neighborhood_4,_Neighborhood_5,_Neighborhood_6,_Neighborhood_7,_Neighborhood_8,_Neighborhood_9,_Neighborhood_10,_Neighborhood_-2,_Condition_Artery,_Condition_Feedr,_Condition_Norm,_Condition_RRNn,_Condition_RRAn,_Condition_PosN,_Condition_PosA,_Condition_RRNe,_Condition_RRAe,_BldgType_1,_BldgType_2,_BldgType_3,_BldgType_-2,_HouseStyle_1,_HouseStyle_2,_HouseStyle_3,_HouseStyle_4,_HouseStyle_-2,_OverallQual,_OverallCond,_YearBuilt,_YearRemodAdd,_BuildingAge,_YearsFromRemod,_RoofStyle_1,_RoofStyle_2,_RoofStyle_3,_RoofStyle_-2,_RoofMatl_1,_RoofMatl_2,_RoofMatl_-2,_Exterior_AsbShng,_Exterior_AsphShn,_Exterior_BrkComm,_Exterior_BrkFace,_Exterior_CBlock,_Exterior_CemntBd,_Exterior_HdBoard,_Exterior_ImStucc,_Exterior_MetalSd,_Exterior_Plywood,_Exterior_Other,_Exterior_Stone,_Exterior_Stucco,_Exterior_VinylSd,_Exterior_WdSdng,_Exterior_WdShing,_MasVnrType_BrkCmn,_MasVnrType_BrkFace,_MasVnrType_CBlock,_MasVnrType_Stone,_MasVnrArea,_ExterQual,_ExterCond,_Foundation_1,_Foundation_2,_Foundation_3,_Foundation_4,_Foundation_-2,_BsmtQual,_BsmtCond,_BsmtExposure,_BsmtFinType1,_BsmtFinSF1,_BsmtFinType2,_BsmtFinSF2,_BsmtUnfSF,_TotalBsmtSF,_Heating_1,_Heating_2,_Heating_-2,_HeatingQC,_CentralAir,_Electrical,_1stFlrSF,_2ndFlrSF,_LowQualFinSF,_GrLivArea,_BsmtFullBath,_BsmtHalfBath,_FullBath,_HalfBath,_BedroomAbvGr,_KitchenAbvGr,_KitchenQual,_TotRmsAbvGrd,_Functional,_Fireplaces,_FireplaceQu,_GarageType_2Types,_GarageType_Attchd,_GarageType_Basment,_GarageType_BuiltIn,_GarageType_CarPort,_GarageType_Detchd,_GarageYrBlt,_GarageAge,_GarageFinish,_GarageCars,_GarageArea,_GarageQual,_GarageCond,_PavedDrive,_WoodDeckSF,_OpenPorchSF,_EnclosedPorch,_3SsnPorch,_ScreenPorch,_PoolArea,_PoolQC,_Fence,_MiscFeature_Elev,_MiscFeature_Gar2,_MiscFeature_Shed,_MiscFeature_TenC,_MiscVal,_MoSold,_QuarterSold,_YrSold,_SaleType_WD,_SaleType_CWD,_SaleType_VWD,_SaleType_New,_SaleType_COD,_SaleType_Con,_SaleType_ConLw,_SaleType_ConLI,_SaleType_ConLD,_SaleCondition_Normal,_SaleCondition_Abnorml,_SaleCondition_AdjLand,_SaleCondition_Alloca,_SaleCondition_Family,_SaleCondition_Partial,SalePrice
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43493494,0.34934935,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7342342,0.34134135,0.7957958,0.7242242,0.2017017,0.2762763,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7892893,0.7972973,0.45845845,1.0,0.0,0.0,0.0,0.0,0.7057057,0.5065065,0.35235235,1.0,0.7477477,0.45645645,0.0,0.17683345,0.3243243,1.0,0.0,0.0,1.0,1.0,1.0,0.20956363,0.83694535,0.0,0.7017017,0.7882883,0.0,0.7147147,0.8088088,0.5590591,0.4774775,0.7307307,0.8318318,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7797798,0.21871872,0.6141141,0.5905906,0.6826827,0.5395395,0.5385385,1.0,0.0,0.7182182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057057057,0.0,0.5445445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,208500
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7347347,0.525025,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4964965,0.9604605,0.5305305,0.35185185,0.45045045,0.6336336,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3198198,0.45845845,0.0,1.0,0.0,0.0,0.0,0.7057057,0.5065065,1.0,0.6381381,0.86634684,0.45645645,0.0,0.3058058,0.7317317,1.0,0.0,0.0,1.0,1.0,1.0,0.6628978,0.0,0.0,0.3498313,0.0,0.9714715,0.7147147,0.0,0.5590591,0.4774775,0.2782783,0.4049049,1.0,0.6951952,0.6161161,0.0,1.0,0.0,0.0,0.0,0.0,0.43693694,0.5435435,0.6141141,0.5905906,0.45645645,0.5395395,0.5385385,1.0,0.9280609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3143143,0.35235235,0.32782784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,181500
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4834835,0.7202202,1.0,0.0,0.2002002,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7342342,0.34134135,0.7577578,0.6901902,0.24074075,0.3053053,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7457457,0.7972973,0.45845845,1.0,0.0,0.0,0.0,0.0,0.7057057,0.5065065,0.7177177,1.0,0.5675676,0.45645645,0.0,0.46596596,0.4194194,1.0,0.0,0.0,1.0,1.0,1.0,0.30433375,0.8478478,0.0,0.7532533,0.7882883,0.0,0.7147147,0.8088088,0.5590591,0.4774775,0.7307307,0.4049049,1.0,0.6951952,0.6161161,0.0,1.0,0.0,0.0,0.0,0.0,0.7352352,0.26276276,0.6141141,0.5905906,0.7877878,0.5395395,0.5385385,1.0,0.0,0.6121121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8233233,0.7012012,0.5445445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,223500
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3128128,0.50966746,1.0,0.0,0.2002002,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7342342,0.34134135,0.043543544,0.2872873,0.9494494,0.6891892,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3198198,0.45845845,0.0,0.0,1.0,0.0,0.0,0.27127126,1.0,0.35235235,0.6381381,0.3983984,0.45645645,0.0,0.5455455,0.2027027,1.0,0.0,0.0,0.4099099,1.0,1.0,0.35535535,0.7737738,0.0,0.7092092,0.7882883,0.0,0.22872873,0.0,0.5590591,0.4774775,0.7307307,0.6551552,1.0,0.6951952,0.8538539,0.0,0.0,0.0,0.0,0.0,1.0,0.6756757,0.2832833,0.26276276,0.9349349,0.8203203,0.5395395,0.5385385,1.0,0.0,0.5555556,0.99253243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057057057,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,140000
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7867868,0.8971231,1.0,0.0,0.2002002,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9009009,0.34134135,0.7427427,0.6406406,0.25775775,0.35985985,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9129129,0.7972973,0.45845845,1.0,0.0,0.0,0.0,0.0,0.7057057,0.5065065,0.8328328,1.0,0.7002002,0.45645645,0.0,0.5115115,0.6526527,1.0,0.0,0.0,1.0,1.0,1.0,0.5673913,0.92679375,0.0,0.9061126,0.7882883,0.0,0.7147147,0.8088088,0.9074074,0.4774775,0.7307307,0.9219219,1.0,0.6951952,0.6161161,0.0,1.0,0.0,0.0,0.0,0.0,0.7187187,0.2832833,0.6141141,0.9349349,0.9399399,0.5395395,0.5385385,1.0,0.7997998,0.8028028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5445445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,250000
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8073073,0.8898899,1.0,0.0,0.2002002,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23223223,0.34134135,0.6486486,0.5245245,0.36086085,0.4934935,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3198198,0.45845845,0.0,0.0,0.0,1.0,0.0,0.7057057,0.5065065,0.35235235,1.0,0.7592593,0.45645645,0.0,0.0960961,0.25175175,1.0,0.0,0.0,1.0,1.0,1.0,0.13813815,0.64565164,0.0,0.4219219,0.7882883,0.0,0.22872873,0.8088088,0.021021022,0.4774775,0.2782783,0.17267267,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6016016,0.4109109,0.26276276,0.5905906,0.5075075,0.5395395,0.5385385,1.0,0.5345345,0.5315315,0.0,0.99823713,0.0,0.0,0.0,0.9059059,0.0,0.0,1.0,0.0,0.988989,0.8753754,1.0,0.7647648,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,143000
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6326326,0.5845846,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9009009,0.34134135,0.8293293,0.8093093,0.15065065,0.16316317,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7827828,0.7972973,0.45845845,1.0,0.0,0.0,0.0,0.0,1.0,0.5065065,0.8328328,1.0,0.9692239,0.45645645,0.0,0.34184185,0.9289289,1.0,0.0,0.0,1.0,1.0,1.0,0.9089089,0.0,0.0,0.6891892,0.7882883,0.0,0.7147147,0.0,0.5590591,0.4774775,0.7307307,0.6551552,1.0,0.6951952,0.8538539,0.0,1.0,0.0,0.0,0.0,0.0,0.8173173,0.16166165,0.6141141,0.5905906,0.8176894,0.5395395,0.5385385,1.0,0.89530593,0.7012012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7597598,0.7012012,0.32782784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,307000
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8377077,0.6216216,1.0,0.0,0.2002002,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7342342,0.7092092,0.5035035,0.32632634,0.5115115,0.6891892,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8298298,0.3198198,0.45845845,0.0,1.0,0.0,0.0,0.0,0.7057057,0.5065065,0.7177177,0.6381381,0.825593,0.9664665,0.8869112,0.24324325,0.6195652,1.0,0.0,0.0,1.0,1.0,1.0,0.5216885,0.9089089,0.0,0.8798799,0.7882883,0.0,0.7147147,0.8088088,0.5590591,0.4774775,0.2782783,0.6551552,1.0,0.9574575,0.6161161,0.0,1.0,0.0,0.0,0.0,0.0,0.4014014,0.6081081,0.6141141,0.5905906,0.531031,0.5395395,0.5385385,1.0,0.87183005,0.963964,0.976977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.96591204,0.9329329,1.0,0.7647648,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200000
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17667668,0.14764765,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7342342,0.34134135,0.13463463,0.0,0.8673674,0.9479479,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3198198,0.45845845,0.0,0.0,1.0,0.0,0.0,0.27127126,0.5065065,0.35235235,0.17267267,0.0,0.45645645,0.0,0.8253253,0.45695695,1.0,0.0,0.0,0.4099099,1.0,0.011511511,0.4209209,0.7690372,0.0,0.7467467,0.0,0.0,0.7147147,0.0,0.16066065,0.9764765,0.2782783,0.8318318,0.057557557,0.9574575,0.6161161,0.0,0.0,0.0,0.0,0.0,1.0,0.056556556,0.9454454,0.26276276,0.5905906,0.47591567,0.073573574,0.5385385,1.0,0.5700891,0.0,0.964965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1956957,0.35235235,0.5445445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,129900
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14664665,0.23893385,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23223223,0.7092092,0.16066065,0.0,0.8363363,0.9479479,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3198198,0.45845845,0.0,0.0,1.0,0.0,0.0,0.27127126,0.5065065,0.35235235,1.0,0.8235469,0.45645645,0.0,0.17017017,0.4994995,1.0,0.0,0.0,1.0,1.0,1.0,0.487988,0.0,0.0,0.2077077,0.7882883,0.0,0.22872873,0.0,0.16066065,0.9764765,0.2782783,0.17267267,1.0,0.9574575,0.6161161,0.0,1.0,0.0,0.0,0.0,0.0,0.075575575,0.9224224,0.6141141,0.18168168,0.07007007,0.9934935,0.5385385,1.0,0.0,0.44963628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5445445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,118000
